FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
13269,GA,"Taylor County, GA",7129,1.40272e-4,0.188385468,0.81147426,0.615,0.602,7799,0.9555,0.9873,0.7381,0.8021,0.8339,"Taylor County, GA",Q4: Most vulnerable,FALSE,0.77875
13271,GA,"Telfair County, GA",8751,0,0.264198377,0.735801623,0.571,0.571,12619,0.9765,0.7273,0.9978,0.8867,0.9841,"Telfair County, GA",Q4: Most vulnerable,FALSE,0.7737499999999999
13273,GA,"Terrell County, GA",7479,0.020189865,0.312876053,0.666934082,0.472,0.473,9004,0.9809,0.9885,0.6853,0.9399,0.9704,"Terrell County, GA",Q4: Most vulnerable,FALSE,0.72695
13275,GA,"Thomas County, GA",25741,0.090555922,0.154733693,0.754710384,0.561,0.584,45665,0.8158,0.8966,0.9408,0.805,0.2243,"Thomas County, GA",Q4: Most vulnerable,FALSE,0.6999
13277,GA,"Tift County, GA",22235,0.220463234,0.167258826,0.61227794,0.473,0.468,41247,0.8759,0.8193,0.7388,0.8428,0.8727,"Tift County, GA",Q4: Most vulnerable,FALSE,0.67195
13279,GA,"Toombs County, GA",16509,1.81719e-4,0.287600703,0.712217578,0.559,0.564,26946,0.9857,0.9752,0.9777,0.7989,0.8743,"Toombs County, GA",Q4: Most vulnerable,FALSE,0.77485
13281,GA,"Towns County, GA",11692,0.013171399,0.058073897,0.928754704,0.742,0.703,12546,0.5622,0.7607,0.2141,0.119,0.6911,"Towns County, GA",Q3,FALSE,0.6326
13283,GA,"Treutlen County, GA",4699,0,0.191742924,0.808257076,0.539,0.536,6411,0.9389,0.9943,0.8161,0.714,0.685,"Treutlen County, GA",Q4: Most vulnerable,FALSE,0.7374499999999999
13285,GA,"Troup County, GA",32354,0.050812882,0.198306237,0.75088088,0.679,0.637,69527,0.9023,0.8145,0.8613,0.8304,0.896,"Troup County, GA",Q4: Most vulnerable,FALSE,0.76965
13287,GA,"Turner County, GA",6684,0.015409934,0.364302813,0.620287253,0.524,0.521,8894,0.9675,0.9911,0.9768,0.8428,0.5581,"Turner County, GA",Q4: Most vulnerable,FALSE,0.7442500000000001
13289,GA,"Twiggs County, GA",6521,0,0.066554209,0.933445791,0.507,0.492,7955,0.6538,0.5625,0.6395,0.8304,0.566,"Twiggs County, GA",Q3,FALSE,0.5729
13291,GA,"Union County, GA",19628,0.004738129,0.031791319,0.963470552,0.725,0.681,24880,0.4932,0.448,0.3506,0.1572,0.7986,"Union County, GA",Q2,FALSE,0.5871000000000001
13293,GA,"Upson County, GA",17069,0.002694944,0.203116761,0.794188295,0.721,0.675,27638,0.6468,0.7938,0.4642,0.7066,0.378,"Upson County, GA",Q3,FALSE,0.6609
13295,GA,"Walker County, GA",39234,0.026533109,0.147550594,0.825916297,0.755,0.712,68065,0.6796,0.8215,0.6624,0.2914,0.4776,"Walker County, GA",Q3,FALSE,0.6958
13297,GA,"Walton County, GA",44974,0.020634144,0.165784676,0.81358118,0.5,0.458,97752,0.4095,0.6656,0.4432,0.6503,0.0598,"Walton County, GA",Q2,FALSE,0.43374999999999997
13299,GA,"Ware County, GA",22107,0.126113901,0.261998462,0.611887637,0.703,0.702,35917,0.9596,0.9198,0.804,0.756,0.9825,"Ware County, GA",Q4: Most vulnerable,FALSE,0.8308
13301,GA,"Warren County, GA",4978,0,0.10948172,0.89051828,0.656,0.626,5197,0.8123,0.7836,0.8158,0.9259,0.5418,"Warren County, GA",Q4: Most vulnerable,FALSE,0.71915
13303,GA,"Washington County, GA",14378,6.9551e-5,0.177841146,0.822089303,0.546,0.524,19975,0.9115,0.8734,0.6573,0.9103,0.9485,"Washington County, GA",Q4: Most vulnerable,FALSE,0.71775
13305,GA,"Wayne County, GA",19639,3.56434e-4,0.225469729,0.774173838,0.624,0.616,30277,0.9434,0.9558,0.8473,0.658,0.8896,"Wayne County, GA",Q4: Most vulnerable,FALSE,0.7797000000000001
13307,GA,"Webster County, GA",2596,3.85208e-4,0.11633282,0.883281972,0.505,0.503,2354,0.8447,0.9984,0.4305,0.9259,0.3035,"Webster County, GA",Q4: Most vulnerable,FALSE,0.6738500000000001
13309,GA,"Wheeler County, GA",4507,0,0.134235633,0.865764367,0.56,0.555,7550,0.7716,0.9653,0.0038,0.8263,0.9796,"Wheeler County, GA",Q4: Most vulnerable,FALSE,0.6633
